mistnost nahoru doprava dolu doleva
start poklad1 null null null
poklad1 null bojiste1 start obchod1
obchod1 null poklad1 null null
bojiste1 bojiste2 null bojiste3 poklad1
bojiste2 poklad3 bojiste5 bojiste1 null
bojiste5 null null null bojiste2
poklad3 null null bojiste2 null
bojiste3 bojiste1 poklad2 bojiste4 null
poklad2 null null obchod2 bojiste3
obchod2 poklad2 null null bojiste4
bojiste4 bojiste3 obchod2 bojiste7 bojiste6
bojiste7 bojiste4 null poklad4 obchod3
poklad4 bojiste7 null null null
obchod3 bojiste6 bojiste7 null null
bojiste6 null bojiste4 obchod3 bojiste8
bojiste8 null bojiste6 null cil
cil null null null null
